"Angebote";"Visits gesamt";"Visits gesamt Inland";"Visits gesamt Anteil Inland";"Visits gesamt Ausland";"online Visits gesamt";"online Visits Inland";"online Visits Ausland";"mobile Visits gesamt";"mobile Visits Inland";"mobile Visits Ausland";"Connected TV Visits gesamt";"Connected TV Visits Inland";"Connected TV Visits Ausland";
"1&1 Internet AG ";;;;;;;;;;;;;;


"Comunio.de - der Online Fußballmanager";10.393.294;9.877.491;95 %;515.803;2.366.761;2.218.830;147.931;8.026.533;7.658.661;367.872;;;;




"Connect";2.320.155;2.061.254;89 %;258.901;1.454.476;1.285.474;169.002;865.679;775.780;89.899;;;;


"COSMIQ";736.625;642.390;87 %;94.235;736.625;642.390;94.235;;;;;;;

"Cosmopolitan";3.677.972;3.053.639;83 %;624.333;1.354.213;1.115.627;238.586;2.323.759;1.938.012;385.747;;;;


"Couchfunk ";;;;;;;;;;;;;;


"COUCHstyle";414.373;356.138;86 %;58.235;168.241;144.132;24.109;246.132;212.006;34.126;;;;


"Creditreform Magazin Online";17.538;15.340;87 %;2.198;17.538;15.340;2.198;;;;;;;

"CRN";328.220;287.793;88 %;40.427;328.220;287.793;40.427;;;;;;;

"DAILY DOSE";175.359;147.428;84 %;27.931;175.359;147.428;27.931;;;;;;;

"Dailyme.tv";631.521;563.677;89 %;67.844;;;;631.521;563.677;67.844;;;;


"damals.de";17.534;13.724;78 %;3.810;17.534;13.724;3.810;;;;;;;

"DAS HAUS online";357.390;320.005;90 %;37.385;176.091;153.609;22.482;181.299;166.396;14.903;;;;


"DAS INVESTMENT";181.209;155.376;86 %;25.833;181.209;155.376;25.833;;;;;;;

"Das Örtliche";20.806.561;20.133.935;97 %;672.626;12.358.697;11.866.913;491.784;8.447.864;8.267.022;180.842;;;;




"das spielzeug";9.179;7.931;86 %;1.248;9.179;7.931;1.248;;;;;;;

"Das Telefonbuch";24.274.592;22.812.579;94 %;1.462.013;15.781.239;14.698.164;1.083.075;8.493.353;8.114.415;378.938;;;;




"DataCenter-Insider";123.660;94.578;76 %;29.082;123.660;94.578;29.082;;;;;;;

"DAZ.online Deutsche Apotheker Zeitung";1.282.629;1.150.144;90 %;132.485;1.282.629;1.150.144;132.485;;;;;;;

"DBZ Deutsche BauZeitschrift";37.438;31.941;85 %;5.497;37.438;31.941;5.497;;;;;;;

"Deine Tierwelt / dhd24.com";5.375.432;4.814.779;90 %;560.653;2.717.162;2.356.767;360.395;2.658.270;2.458.012;200.258;;;;


"delta radio";103.646;91.927;89 %;11.719;103.646;91.927;11.719;;;;;;;

"deluxemusic.tv";65.376;51.128;78 %;14.248;65.376;51.128;14.248;;;;;;;

"depechemode.de";356.791;321.922;90 %;34.869;356.791;321.922;34.869;;;;;;;

"DER AKTIONÄR";2.071.224;1.732.092;84 %;339.132;2.071.224;1.732.092;339.132;;;;;;;

"DER AKTIONÄR TV";251.061;211.353;84 %;39.708;251.061;211.353;39.708;;;;;;;

